model,n_params,d_model,layer,task,pca_dims,lambda,centroid_margin
Qwen2.5-0.5B,0.5,896,8,age_bin,32,1.0,-0.038479
Qwen2.5-0.5B,0.5,896,8,age_bin,64,1.0,-0.031105
Qwen2.5-0.5B,0.5,896,8,age_bin,128,1.0,-0.023755
Qwen2.5-0.5B,0.5,896,8,age_bin,256,1.0,-0.010387
Qwen2.5-0.5B,0.5,896,8,age_bin,512,1.0,-0.000317
Qwen2.5-0.5B,0.5,896,8,gender,896,1.0,0.049705
Qwen2.5-0.5B,0.5,896,8,gender,32,1.0,0.01208
Qwen2.5-0.5B,0.5,896,8,gender,64,1.0,0.020082
Qwen2.5-0.5B,0.5,896,8,gender,128,1.0,0.028225
Qwen2.5-0.5B,0.5,896,8,gender,256,1.0,0.040083
Qwen2.5-0.5B,0.5,896,8,gender,512,1.0,0.049126
Qwen2.5-1.5B,1.5,1536,0,age_bin,1536,1.0,-0.038886
Qwen2.5-1.5B,1.5,1536,0,age_bin,32,1.0,-0.047728
Qwen2.5-1.5B,1.5,1536,0,age_bin,64,1.0,-0.047032
Qwen2.5-1.5B,1.5,1536,0,age_bin,128,1.0,-0.045547
Qwen2.5-1.5B,1.5,1536,0,age_bin,256,1.0,-0.044348
Qwen2.5-1.5B,1.5,1536,0,age_bin,512,1.0,-0.042955
Qwen2.5-1.5B,1.5,1536,0,gender,1536,1.0,0.008726
Qwen2.5-1.5B,1.5,1536,0,gender,32,1.0,0.002019
Qwen2.5-1.5B,1.5,1536,0,gender,64,1.0,0.002562
Qwen2.5-1.5B,1.5,1536,0,gender,128,1.0,0.003446
Qwen2.5-1.5B,1.5,1536,0,gender,256,1.0,0.004426
Qwen2.5-1.5B,1.5,1536,0,gender,512,1.0,0.005508
Qwen2.5-1.5B,1.5,1536,12,age_bin,1536,1.0,0.02919
Qwen2.5-1.5B,1.5,1536,12,age_bin,32,1.0,-0.028954
Qwen2.5-1.5B,1.5,1536,12,age_bin,64,1.0,-0.019897
Qwen2.5-1.5B,1.5,1536,12,age_bin,128,1.0,-0.011513
Qwen2.5-1.5B,1.5,1536,12,age_bin,256,1.0,0.00617
Qwen2.5-1.5B,1.5,1536,12,age_bin,512,1.0,0.02011
Qwen2.5-1.5B,1.5,1536,12,gender,1536,1.0,0.072001
Qwen2.5-1.5B,1.5,1536,12,gender,32,1.0,0.023637
Qwen2.5-1.5B,1.5,1536,12,gender,64,1.0,0.028684
Qwen2.5-1.5B,1.5,1536,12,gender,128,1.0,0.035868
Qwen2.5-1.5B,1.5,1536,12,gender,256,1.0,0.05216
Qwen2.5-1.5B,1.5,1536,12,gender,512,1.0,0.065293
Qwen2.5-1.5B,1.5,1536,16,age_bin,1536,1.0,0.0231
Qwen2.5-1.5B,1.5,1536,16,age_bin,32,1.0,-0.027661
Qwen2.5-1.5B,1.5,1536,16,age_bin,64,1.0,-0.02089
Qwen2.5-1.5B,1.5,1536,16,age_bin,128,1.0,-0.014481
Qwen2.5-1.5B,1.5,1536,16,age_bin,256,1.0,-6.9e-05
Qwen2.5-1.5B,1.5,1536,16,age_bin,512,1.0,0.013859
Qwen2.5-1.5B,1.5,1536,16,gender,1536,1.0,0.067086
Qwen2.5-1.5B,1.5,1536,16,gender,32,1.0,0.023576
Qwen2.5-1.5B,1.5,1536,16,gender,64,1.0,0.029571
Qwen2.5-1.5B,1.5,1536,16,gender,128,1.0,0.034179
Qwen2.5-1.5B,1.5,1536,16,gender,256,1.0,0.046854
Qwen2.5-1.5B,1.5,1536,16,gender,512,1.0,0.06084
Qwen2.5-1.5B,1.5,1536,20,age_bin,1536,1.0,0.060198
